"NUTS_ID","ISO","sector","sect_b"
"CZ08","CZE","IND",0.01933278024558133
"CZ08","CZE","IRO",0.005841009065081456
"CZ08","CZE","NMM",0.006142790807898617
"CZ08","CZE","PRO",0.011395618784490146
"CZ08","CZE","SWD_INC",1.0985697591689259e-4
"CZ08","CZE","TRF",0.03334934019530173
"DE11","DEU","CHE",0.008836887931822671
"DE11","DEU","ENE",0.12276687973733454
"DE11","DEU","IND",0.015429116229308983
"DE11","DEU","NFE",2.3761845265809318e-4
"DE11","DEU","NMM",0.0070201420582160145
"DE11","DEU","PRO",0.0017137298266391044
"DE11","DEU","SWD_INC",0.001408868154529613
"DE11","DEU","TRF",0.0017825806770065769
"DE12","DEU","CHE",0.012324959306954248
"DE12","DEU","ENE",0.19490585539393795
"DE12","DEU","IND",0.034519582968357075
"DE12","DEU","NFE",1.5149312378144516e-4
"DE12","DEU","NMM",0.00654583171678071
"DE12","DEU","PRO",0.00263246795770242
"DE12","DEU","REF",0.01818595416348038
"DE12","DEU","SWD_INC",9.282046488327906e-4
"DE12","DEU","TRF",0.0012060084593499482
"DE13","DEU","CHE",0.0043899883324700194
"DE13","DEU","ENE",0.02197594739949279
"DE13","DEU","IND",0.008331169839697195
"DE13","DEU","NFE",1.2981325481910616e-4
"DE13","DEU","NMM",0.004411558788577218
"DE13","DEU","PRO",0.0012938146424528577
"DE13","DEU","SWD_INC",6.827294276085158e-4
"DE13","DEU","TRF",8.982919023784193e-4
"DE14","DEU","CHE",0.0034291125865972823
"DE14","DEU","ENE",0.02585380236242344
"DE14","DEU","IND",0.006418061426665648
"DE14","DEU","NFE",1.5515168343782317e-4
"DE14","DEU","NMM",0.004267464473448554
"DE14","DEU","PRO",0.0010171940244799043
"DE14","DEU","SWD_INC",5.298904055059416e-4
"DE14","DEU","TRF",6.93431445962019e-4
"DE21","DEU","CHE",0.009406376664935535
"DE21","DEU","ENE",0.15264671833043073
"DE21","DEU","IND",0.01785395102115364
"DE21","DEU","NFE",2.7456464419861615e-4
"DE21","DEU","NMM",0.009789526022468503
"DE21","DEU","PRO",0.004983390661045915
"DE21","DEU","REF",0.03394464626680741
"DE21","DEU","SWD_INC",0.0014674591029695345
"DE21","DEU","TRF",0.0018997124519342472
"DE22","DEU","CHE",0.001571286865886642
"DE22","DEU","ENE",0.006765130308748452
"DE22","DEU","IND",0.002863965824622038
"DE22","DEU","NFE",3.75411035983047e-5
"DE22","DEU","NMM",0.003734464462272923
"DE22","DEU","PRO",0.0010744774155481518
"DE22","DEU","SWD_INC",2.427704554736202e-4
"DE22","DEU","TRF",3.194486446338008e-4
"DE23","DEU","CHE",0.0017223413011511607
"DE23","DEU","ENE",0.009582515138199212
"DE23","DEU","IND",0.006150139171053958
"DE23","DEU","IRO",7.616838711859712e-4
"DE23","DEU","NFE",4.1150066665441794e-5
"DE23","DEU","NMM",0.0062393523191468705
"DE23","DEU","PRO",0.0011897443070315746
"DE23","DEU","SWD_INC",2.7547074117983256e-4
"DE23","DEU","TRF",0.0014460640375347123
"DE24","DEU","CHE",0.001858608315891217
"DE24","DEU","ENE",0.005806207191368395
"DE24","DEU","IND",0.0031776772507698197
"DE24","DEU","NFE",6.933367531331296e-5
"DE24","DEU","NMM",0.0014308270430132134
"DE24","DEU","PRO",8.515024404017019e-4
"DE24","DEU","SWD_INC",2.871627687158893e-4
"DE24","DEU","TRF",3.7647252107306326e-4
"DE25","DEU","CHE",0.003375990697370782
"DE25","DEU","ENE",0.024491535988376577
"DE25","DEU","IND",0.00588609490511255
"DE25","DEU","NFE",1.0558690050013828e-4
"DE25","DEU","NMM",0.0028837289552170373
