"NUTS_ID","CNTR_CODE","sector","ETS","capital_lifetime","e_95","e_21","e_hist","pop_50","ISO","pop_21","pop_95","sect_b"
"AT32","AT","MNM",0,23,8.471928106e-5,6.86496095e-5,0.002020380771,576733,"AUT",545815,506626,0.0014908304611242807
"AT32","AT","N2O",0,23,3.58743134e-5,3.0145929429999997e-5,8.781898035000001e-4,576733,"AUT",545815,506626,6.546646106289493e-4
"AT32","AT","NEU",0,15,3.6984932810000003e-6,1.349445554e-6,7.990356563e-5,576733,"AUT",545815,506626,1.911212496819365e-5
"AT32","AT","PRU",0,15,7.069996793e-5,1.508236954e-4,0.003123079801,576733,"AUT",545815,506626,0.002136107904542826
"AT32","AT","RCO",0,20,9.573365768999999e-4,5.840967486e-4,0.021395735359999998,576733,"AUT",545815,506626,0.011030041209313621
"AT32","AT","SOL",0,15,7.235243829e-5,7.364559738e-5,0.002048145137,576733,"AUT",545815,506626,0.00104303864376868
"AT32","AT","SWD_LDF",0,24,6.438841552e-4,1.977085117e-4,0.01059086609,576733,"AUT",545815,506626,0.004480216067033381
"AT32","AT","TNR",0,26,2.27405012e-5,4.1118464179999994e-5,9.951160357e-4,576733,"AUT",545815,506626,0.0010094215762936568
"AT32","AT","TRO",0,16,9.716494302999999e-4,0.0013855290139999999,0.0363886846,576733,"AUT",545815,506626,0.020931384614277813
"AT32","AT","WWT",0,24,1.109157834e-4,1.2687067369999999e-4,0.0031811891879999997,576733,"AUT",545815,506626,0.0028749800696926155
"AT33","AT","AGS",0,23,1.756395522e-4,1.48999629e-4,0.004281789837,815176,"AUT",739139,649875,0.0032357530833357
"AT33","AT","AWB",0,23,9.8013278e-8,1.12584746e-7,2.957591814e-6,815176,"AUT",739139,649875,2.4449486314228782e-6
"AT33","AT","ENF",0,23,4.179779631e-4,3.767625475e-4,0.01059785745,815176,"AUT",739139,649875,0.0081819705387222
"AT33","AT","IDE",0,15,4.3758268119999994e-5,2.3018749110000003e-5,0.0010353359680000001,815176,"AUT",739139,649875,3.260133084271263e-4
"AT33","AT","MNM",0,23,9.146340816e-5,7.440524985e-5,0.002184614615,815176,"AUT",739139,649875,0.001615822926770513
"AT33","AT","N2O",0,23,6.255641451999999e-5,5.23275012e-5,0.0015281062019999998,815176,"AUT",739139,649875,0.0011363711070123037
"AT33","AT","NEU",0,15,4.774744061e-6,1.840680747e-6,1.059534937e-4,815176,"AUT",739139,649875,2.6069462646295125e-5
"AT33","AT","PRU",0,15,9.127341334000001e-5,2.057274203e-4,0.004184668026000001,815176,"AUT",739139,649875,0.002913706414091975
"AT33","AT","RCO",0,20,0.001226189888,7.89506539e-4,0.02829149746,815176,"AUT",739139,649875,0.01490898499446393
"AT33","AT","SOL",0,15,9.325496434e-5,1.002251607e-4,0.0027288478209999997,815176,"AUT",739139,649875,0.001419483572773838
"AT33","AT","SWD_LDF",0,24,8.164888503e-4,2.5232098740000003e-4,0.01345456672,815176,"AUT",739139,649875,0.005717773767446793
"AT33","AT","TNR",0,26,3.367313829e-5,5.6726656599999996e-5,0.001406792945,815176,"AUT",739139,649875,0.00139258876188505
"AT33","AT","TRO",0,16,0.001319481151,0.001884692613,0.04945835144,815176,"AUT",739139,649875,0.028472320365563453
"AT33","AT","WWT",0,24,6.462561915e-5,7.332169726e-5,0.001841909731,815176,"AUT",739139,649875,0.0016615220220000742
"AT34","AT","AGS",0,23,4.468572644e-5,3.888980867e-5,0.001101799767,442229,"AUT",384147,341408,8.44551219079129e-4
"AT34","AT","AWB",0,23,6.659213799999999e-8,7.4175844e-8,1.9908697230000003e-6,442229,"AUT",384147,341408,1.6108410305640954e-6
"AT34","AT","ENF",0,23,1.541905606e-4,1.370641613e-4,0.003887459939,442229,"AUT",384147,341408,0.0029765562875414724
"AT34","AT","IDE",0,15,1.020998371e-5,5.370900855999999e-6,2.415721522e-4,442229,"AUT",384147,341408,7.606778061358541e-5
"AT34","AT","MNM",0,23,3.6434688979999996e-05,2.9632337920000003e-5,8.703440507e-4,442229,"AUT",384147,341408,6.435111915015935e-4
"AT34","AT","N2O",0,23,1.4199765169999999e-5,1.194762484e-5,3.4781903060000004e-4,442229,"AUT",384147,341408,2.594608065404525e-4
"AT34","AT","NEU",0,15,2.724141859e-6,1.040511664e-6,5.9925179530000004e-5,442229,"AUT",384147,341408,1.4736710861941984e-5
"AT34","AT","PRU",0,15,5.207432787e-5,1.162948067e-4,0.002366167912,442229,"AUT",384147,341408,0.0016470771067524847
"AT34","AT","RCO",0,20,6.318173203e-4,4.0836767350000005e-4,0.01459146286,442229,"AUT",384147,341408,0.007711585928277723
"AT34","AT","SOL",0,15,5.274274198e-5,5.594773569e-5,0.001526085837,442229,"AUT",384147,341408,7.923847783448607e-4
"AT34","AT","SWD_LDF",0,24,1.0684515810000001e-4,4.204705889e-5,0.0019092561,442229,"AUT",384147,341408,9.528163820094992e-4
"AT34","AT","TNR",0,26,1.137906144e-5,2.194797173e-5,5.199662773e-4,442229,"AUT",384147,341408,5.38803106146199e-4
"AT34","AT","TRO",0,16,5.046847859000001e-4,7.164109003e-4,0.018860055690000002,442229,"AUT",384147,341408,0.010822921746509407
"AT34","AT","WWT",0,24,3.401980629e-5,3.855173345e-5,9.675610317e-4,442229,"AUT",384147,341408,8.736098113811163e-4
"BE10","BE","AGS",0,23,1.60144514e-7,1.50918082e-7,4.170290496e-6,1408311,"BEL",1201285,951580,3.2084930488578106e-6
"BE10","BE","AWB",0,23,9.35264e-10,1.0045900000000001e-9,3.0125398e-8,1408311,"BEL",1201285,951580,2.1357414494255686e-8
"BE10","BE","ENF",0,23,3.4798543629999996e-6,2.579696955e-6,7.976385831000001e-5,1408311,"BEL",1201285,951580,5.48439235285084e-5
"BE10","BE","IDE",0,15,2.594002021e-6,1.251385091e-6,5.257655312e-5,1408311,"BEL",1201285,951580,1.7350589109304946e-5
"BE10","BE","MNM",0,23,1.12238986e-6,8.57660105e-7,2.600399814e-5,1408311,"BEL",1201285,951580,1.8233709630468004e-5
"BE10","BE","N2O",0,23,2.888195796e-6,2.39559758e-6,7.032253070999999e-5,1408311,"BEL",1201285,951580,5.093000176937442e-5
"BE10","BE","NEU",0,15,1.111516595e-5,6.128271829e-6,1.968792657e-4,1408311,"BEL",1201285,951580,8.496914916106164e-5
"BE10","BE","PRU",0,15,1.690927648e-4,2.782276895e-4,0.007193522078,1408311,"BEL",1201285,951580,0.0038576568908041888
"BE10","BE","RCO",0,20,0.002118488336,0.002011190384,0.06064676994,1408311,"BEL",1201285,951580,0.03718049514290213
"BE10","BE","SOL",0,15,7.382360762e-5,8.356099096e-5,0.002155082352,1408311,"BEL",1201285,951580,0.0011585821424120715
"BE10","BE","SWD_LDF",0,24,4.445382549999999e-6,1.080025997e-5,5.40210097e-4,1408311,"BEL",1201285,951580,2.3959482894385118e-4
"BE10","BE","TNR",0,26,2.344276252e-6,2.4156592080000003e-6,6.444650623e-5,1408311,"BEL",1201285,951580,5.805518364338801e-5
"BE10","BE","TRO",0,16,4.959100453e-4,5.410940326999999e-4,0.014957024869999998,1408311,"BEL",1201285,951580,0.008002482197490727
"BE10","BE","WWT",0,24,1.375150503e-4,1.397783811e-4,0.003699186488,1408311,"BEL",1201285,951580,0.0031008677015857923
"BE21","BE","AGS",0,23,9.924471672999999e-5,9.3687713e-5,0.002573888004,1993930,"BEL",1828927,1628710,0.0019917850262891994
"BE21","BE","AWB",0,23,1.0412577200000001e-7,1.77397766e-7,5.211402246e-6,1993930,"BEL",1828927,1628710,3.771446678562377e-6
"BE21","BE","ENF",0,23,7.156793423999999e-4,5.350056548e-4,0.01649445188,1993930,"BEL",1828927,1628710,0.011374130268402307
"BE21","BE","IDE",0,15,5.6289762600000003e-5,2.715505514e-5,0.001140909901,1993930,"BEL",1828927,1628710,3.76507765166158e-4
"BE21","BE","MNM",0,23,4.461300564e-4,3.4237781580000003e-4,0.01048426369,1993930,"BEL",1828927,1628710,0.007278894798553165
"BE21","BE","N2O",0,23,7.436243957e-5,6.32077039e-5,0.0018349906,1993930,"BEL",1828927,1628710,0.00134378515754933
"BE21","BE","NEU",0,15,2.2262833610000003e-5,1.045241983e-5,3.570224614e-4,1993930,"BEL",1828927,1628710,1.449239270729661e-4
"BE21","BE","PRU",0,15,3.386794607e-4,4.7454598640000003e-4,0.012772484769999998,1993930,"BEL",1828927,1628710,0.006579631228398751
"BE21","BE","RCO",0,20,0.004819862215,0.003748216454,0.1199730352,1993930,"BEL",1828927,1628710,0.06929256661685235
"BE21","BE","SOL",0,15,1.503698141e-4,1.4815065250000002e-4,0.003956753587,1993930,"BEL",1828927,1628710,0.0020541247584696704
"BE21","BE","SWD_LDF",0,24,1.54379082e-4,5.658512803e-5,0.0027277765680000002,1993930,"BEL",1828927,1628710,0.0012552942344695958
"BE21","BE","TNR",0,26,3.6849300560000003e-5,2.146955069e-5,7.562780854e-4,1993930,"BEL",1828927,1628710,5.159745645913882e-4
"BE21","BE","TRO",0,16,0.002651691185,0.002912965227,0.08035784750000001,1993930,"BEL",1828927,1628710,0.04308114849217231
