"NUTS_ID","pop_95","pop_21","pop_50","k_95","k_19","CNTR_CODE","ISO","emi_hist","pop_2000","eu_nhbc","eu_nhb","eu_pcc_nhb","eu_epc_s"
"DE24",1104494,1059358,1000712,73.12227775225452,105.00544775102276,"DE","DEU",289913095.62835425,1114155,-1.3288084883450877,-1.2532050354333433,-1.104290337090149,0.05631330765727788
"DE25",1660294,1738686,1798453,73.4926883987181,105.53736684571281,"DE","DEU",497607641.4714239,1683282,-2.2079555972344087,-2.083488579628255,-1.838328237518826,0.0723897088317868
"DE26",1308151,1306048,1277074,67.25393063919451,96.57835227332083,"DE","DEU",365525348.3639668,1333803,-1.6480779089978446,-1.5547428121204254,-1.370902428367601,0.061903210089676586
"DE27",1710809,1846020,1902200,105.26150090948383,151.1581883621541,"DE","DEU",515344023.7487988,1745576,-2.307257028236871,-2.17685428373871,-1.9200024520804808,0.08183601852887168
"DE30",3472009,3520031,3992651,52.13585299670487,74.86840886369549,"DE","DEU",853709749.6106709,3386667,-4.478684498184298,-4.21488449518941,-3.6952825940067333,0.3543637272750739
"DE40",2536747,2484826,2320865,248.07144032986798,356.23688794726814,"DE","DEU",584795852.8536631,2601207,-3.002686870785305,-2.8267298774234453,-2.4801506991094033,0.22100010749415933
"DE50",680029,671489,721341,20.762403945412995,29.81533931508956,"DE","DEU",170347290.1493065,663065,-0.8504151218613727,-0.8009245988962232,-0.7034440472234663,0.05629481550889748
"DE60",1705872,1787408,1994063,40.6170800042079,58.327158333760515,"DE","DEU",531005671.85373574,1704735,-2.3479824371963645,-2.215755729595813,-1.9553112721417931,0.07452721887655123
"DE71",3669956,3922369,4061065,150.73384381853472,216.45762752391784,"DE","DEU",1162284482.0882928,3719354,-4.984293834215748,-4.706155047474009,-4.158310313801083,0.11145352906096351
"DE72",1049136,1040091,1167033,57.058211243197704,81.93704030615604,"DE","DEU",273603024.681151,1063503,-1.369319007619469,-1.2895805543531638,-1.1325212236323028,0.09155963409555734
"DE73",1261601,1213712,1146788,68.7949054693177,98.79123126155986,"DE","DEU",310443304.4753713,1269109,-1.497214984480865,-1.410850142115305,-1.2407389374942916,0.08506493742284205
"DE80",1832298,1612362,1484617,164.13960398156397,235.70863954970648,"DE","DEU",361108288.1486647,1789322,-1.969379703389259,-1.85234109385853,-1.6218123473326165,0.17487062898728722
"DE91",1678659,1598164,1665137,95.68572029005331,137.40712422113222,"DE","DEU",418784737.4227832,1669634,-2.0569389228469133,-1.9377256568259527,-1.7029135303382668,0.1271530303475923
"DE92",2130480,2132290,2047856,122.5083307552275,175.92507399410746,"DE","DEU",558957060.4849112,2152759,-2.622443591825559,-2.472277648362983,-2.1764986156479713,0.12872865357544128
"DE93",1581074,1699969,1609484,151.0055522268688,216.8478076981665,"DE","DEU",449579079.3790147,1660653,-2.0559828214831377,-1.9390801279830485,-1.7088190927047455,0.08577740959228586
"DE94",2325150,2496176,2523531,201.30820522775238,289.08369481478815,"DE","DEU",623348783.89308,2415714,-3.0496757699395607,-2.8731048665318903,-2.5253164811544027,0.1852585806818754
"DEA1",5287352,5173623,5121670,198.25564443616256,284.7001400000146,"DE","DEU",1409138957.3394473,5264468,-6.511167083136573,-6.139877590597382,-5.408555664811605,0.2911831923599093
"DEA2",4162040,4422371,4438751,186.3653517832904,267.6253778032497,"DE","DEU",1207152455.2906158,4263675,-5.482083350168787,-5.170984139528618,-4.558217879218172,0.21752798742250534
"DEA3",2558277,2614229,2643150,140.72388425272547,202.08307139016793,"DE","DEU",670174170.9410609,2608779,-3.2501022898135012,-3.0623533832168564,-2.6925478953280795,0.18962291699946043
"DEA4",1991074,2057996,2096052,116.60394069004154,167.44621992186234,"DE","DEU",549043715.6652658,2048620,-2.5850491217366875,-2.4368830600474056,-2.1450431568234753,0.1294835294800165
"DEA5",3817336,3597297,3603247,174.8033272482423,251.02201695986292,"DE","DEU",948463398.1782539,3814258,-4.592196914259093,-4.327031780948047,-3.804741008273389,0.26586170004456233
"DEB1",1476996,1488308,1395050,98.86581768147343,141.97382483198174,"DE","DEU",401535719.8726127,1516237,-1.8316600024757839,-1.7275856802526492,-1.5225924464486025,0.0750731765460359
"DEB2",502475,532715,593599,40.8255746195826,58.626561896041146,"DE","DEU",138342254.7730438,511548,-0.6812284630191038,-0.6417210475764041,-0.5639040349085218,0.042582158398993236
"DEB3",1972102,2031780,1969788,105.32249667462004,151.24577982984258,"DE","DEU",562527651.7442154,2002988,-2.5140918317591354,-2.372070804789161,-2.0923346608022895,0.08785837514990158
"DEC0",1084201,995597,953851,47.88112112497574,68.7585058493889,"DE","DEU",255272420.68616888,1071501,-1.250194967318946,-1.1777915468855535,-1.0351798922903541,0.07629941732887491
"DED2",1763956,1602754,1584997,119.31104364817809,171.33368851509118,"DE","DEU",362323738.505684,1724703,-1.9881621866324801,-1.8698451727956757,-1.6367983773676555,0.17950963775601791
"DED4",1717612.346,1465612,1224694,123.37280709929445,177.16648397707422,"DE","DEU",330488205.10830706,1997390.8,-1.9132870542381188,-1.7981021577626204,-1.5712246349547125,0.19700162351226586
"DED5",1102776.654,1016485,976684,58.7156325340355,84.31713936907308,"DE","DEU",245834074.33060327,1308776.2,-1.3685307129454498,-1.2868287985402573,-1.1259020753664704,0.12832026487770698
"DEE0",2759213,2245470,2012673,195.67663258481207,280.99661348893153,"DE","DEU",502332817.32948893,2648737,-2.7921776976759642,-2.625538995839236,-2.2973138809719895,0.2607899788272805
"DEF0",2708392,2858714,2737522,208.61549789107139,299.5771526438684,"DE","DEU",756986462.5154861,2777275,-3.466044382029131,-3.2688983225807924,-2.880583439574459,0.14584493546859245
"DEG0",2517776,2170714,1987740,169.5554734187044,243.48596559437382,"DE","DEU",495399149.68969244,2449082,-2.6749186817000945,-2.5163086777826886,-2.2038975381070265,0.2309561828577278
"DK01",1612115.583,1789174,1941274,36.090133842577764,56.00253778492078,"DK","DNK",438251697.133468,1798989,-2.3960711866531947,-2.4702625820576043,-2.347028020414243,0.027915631228064897
"DK02",758698.7598,827499,855664,47.446273046782146,73.62432377353299,"DK","DNK",194463902.79344654,1220396,-1.2811657548857522,-1.3223462249070523,-1.2539439911482724,0.06428564067936376
"DK03",1110177.551,1211770,1246607,89.02273230511635,138.14021725107776,"DK","DNK",268891277.6192459,1505364.2,-1.709395020258999,-1.7639827814513929,-1.6733105574695086,0.07410039490000797
"DK04",1179398.703,1293309,1437686,93.90466855522268,145.7157175388491,"DK","DNK",288850065.8189511,1313359,-1.7288689943129625,-1.7834383835164285,-1.6927966760653321,0.05402616985013242
"DK05",536251.4035,585499,616959,50.96804641696771,79.0892036516193,"DK","DNK",144134064.6348886,1655479,-1.3336288689107452,-1.378704668711456,-1.3038321528504815,0.13909103245780918
"EE00",1448075,1315944,1256223,31.583744791666664,67.16425520833333,"EE","EST",407185789,1401250,-1.5773253785276107,-1.7715430216349106,-1.3710339271446303,0.07831010754413115
"EL30",3755616,3781274,3078979,83.70986531159852,110.84638019547829,"EL","GRC",713946134.6778824,3871527,-5.208353839526979,-5.161387774083885,-4.459488750067227,0.11844538614460032
